"variant","semana","ano","n","freq"
"VOI Epsilon",47,2020,1,1
"VOI Epsilon",51,2020,2,1
"VOI Epsilon",3,2021,1,1
"VOI Epsilon",6,2021,1,1
"VOC Delta",8,2021,1,1
"VOC Alpha",9,2021,1,0.3333333333333333
"VOI Epsilon",9,2021,2,0.6666666666666666
"VOC Alpha",10,2021,1,1
"VOC Alpha",11,2021,1,0.25
"VOC Gamma",11,2021,1,0.25
"VOI Iota",11,2021,2,0.5
"VOC Gamma",12,2021,1,0.25
"VOI Epsilon",12,2021,1,0.25
"VOC Alpha",12,2021,2,0.5
"VOC Alpha",13,2021,1,0.16666666666666666
"VOC Gamma",13,2021,5,0.8333333333333334
"VOC Gamma",14,2021,2,0.18181818181818182
"VOI Epsilon",14,2021,2,0.18181818181818182
"VOC Alpha",14,2021,7,0.6363636363636364
"VOI Iota",15,2021,1,0.03571428571428571
"VOI Lambda",15,2021,1,0.03571428571428571
"VOI Epsilon",15,2021,2,0.07142857142857142
"VOC Gamma",15,2021,9,0.32142857142857145
"VOC Alpha",15,2021,15,0.5357142857142857
"VOI Lambda",16,2021,1,0.04
"VOI Epsilon",16,2021,3,0.12
"VOI Mu",16,2021,3,0.12
"VOC Gamma",16,2021,7,0.28
"VOC Alpha",16,2021,11,0.44
"VOI Lambda",17,2021,1,0.019230769230769232
"VOI Epsilon",17,2021,2,0.038461538461538464
"VOI Mu",17,2021,4,0.07692307692307693
"VOC Gamma",17,2021,16,0.3076923076923077
"VOC Alpha",17,2021,29,0.5576923076923077
"VOI Epsilon",18,2021,1,0.015625
"VOI Iota",18,2021,1,0.015625
"VOI Lambda",18,2021,1,0.015625
"VOC Delta",18,2021,4,0.0625
"VOI Mu",18,2021,6,0.09375
"VOC Gamma",18,2021,23,0.359375
"VOC Alpha",18,2021,28,0.4375
"VOC Delta",19,2021,1,0.010752688172043012
"VOI Iota",19,2021,3,0.03225806451612903
"VOI Lambda",19,2021,4,0.043010752688172046
"VOI Epsilon",19,2021,7,0.07526881720430108
"VOI Mu",19,2021,13,0.13978494623655913
"VOC Alpha",19,2021,28,0.3010752688172043
"VOC Gamma",19,2021,37,0.3978494623655914
"VOI Iota",20,2021,2,0.01680672268907563
"VOC Delta",20,2021,3,0.025210084033613446
"VOI Lambda",20,2021,3,0.025210084033613446
"VOI Mu",20,2021,16,0.13445378151260504
"VOC Alpha",20,2021,39,0.3277310924369748
"VOC Gamma",20,2021,56,0.47058823529411764
"VOI Epsilon",21,2021,1,0.008695652173913044
"VOI Iota",21,2021,1,0.008695652173913044
"VOI Kappa",21,2021,1,0.008695652173913044
"VOI Mu",21,2021,5,0.043478260869565216
"VOC Delta",21,2021,20,0.17391304347826086
"VOC Gamma",21,2021,38,0.33043478260869563
"VOC Alpha",21,2021,49,0.4260869565217391
"VOI Iota",22,2021,2,0.015267175572519083
"VOI Mu",22,2021,12,0.0916030534351145
"VOC Alpha",22,2021,28,0.21374045801526717
"VOC Gamma",22,2021,35,0.26717557251908397
"VOC Delta",22,2021,54,0.4122137404580153
"VOI Lambda",23,2021,1,0.010752688172043012
"VOC Alpha",23,2021,9,0.0967741935483871
"VOI Mu",23,2021,12,0.12903225806451613
"VOC Gamma",23,2021,17,0.1827956989247312
"VOC Delta",23,2021,54,0.5806451612903226
"VOI Mu",24,2021,5,0.03731343283582089
"VOC Alpha",24,2021,9,0.06716417910447761
"VOC Gamma",24,2021,13,0.09701492537313433
"VOC Delta",24,2021,107,0.7985074626865671
"VOI Iota",25,2021,2,0.006622516556291391
"VOC Alpha",25,2021,20,0.06622516556291391
"VOI Mu",25,2021,20,0.06622516556291391
"VOC Gamma",25,2021,31,0.10264900662251655
"VOC Delta",25,2021,229,0.7582781456953642
"VOC Alpha",26,2021,3,0.012711864406779662
"VOC Gamma",26,2021,15,0.0635593220338983
"VOI Mu",26,2021,20,0.0847457627118644
"VOC Delta",26,2021,198,0.8389830508474576
