"variant","semana","ano","n","freq"
"VOI Epsilon",28,2020,1,1
"VOI Epsilon",38,2020,1,1
"VOC Delta",39,2020,1,1
"VOI Epsilon",46,2020,1,1
"VOI Epsilon",47,2020,2,1
"VOI Epsilon",48,2020,5,1
"VOI Epsilon",49,2020,9,1
"VOI Epsilon",50,2020,15,1
"VOI Epsilon",51,2020,18,1
"VOI Epsilon",52,2020,10,1
"VOC Alpha",53,2020,1,0.3333333333333333
"VOI Epsilon",53,2020,2,0.6666666666666666
"VOC Delta",1,2021,1,0.09090909090909091
"VOI Zeta",1,2021,4,0.36363636363636365
"VOI Epsilon",1,2021,6,0.5454545454545454
"VOC Alpha",2,2021,1,0.1
"VOI Zeta",2,2021,4,0.4
"VOI Epsilon",2,2021,5,0.5
"VOC Delta",3,2021,2,0.06896551724137931
"VOC Alpha",3,2021,4,0.13793103448275862
"VOI Zeta",3,2021,5,0.1724137931034483
"VOI Epsilon",3,2021,18,0.6206896551724138
"VOC Alpha",4,2021,1,0.05263157894736842
"VOC Delta",4,2021,1,0.05263157894736842
"VOC Gamma",4,2021,1,0.05263157894736842
"VOI Zeta",4,2021,3,0.15789473684210525
"VOI Epsilon",4,2021,13,0.6842105263157895
"VOC Alpha",5,2021,1,0.1111111111111111
"VOC Delta",5,2021,1,0.1111111111111111
"VOC Gamma",5,2021,1,0.1111111111111111
"VOI Zeta",5,2021,2,0.2222222222222222
"VOI Epsilon",5,2021,4,0.4444444444444444
"VOI Iota",6,2021,1,0.037037037037037035
"VOI Zeta",6,2021,2,0.07407407407407407
"VOC Alpha",6,2021,3,0.1111111111111111
"VOI Epsilon",6,2021,21,0.7777777777777778
"VOI Zeta",7,2021,6,0.15789473684210525
"VOC Alpha",7,2021,8,0.21052631578947367
"VOI Epsilon",7,2021,24,0.631578947368421
"VOC Delta",8,2021,1,0.038461538461538464
"VOC Gamma",8,2021,1,0.038461538461538464
"VOC Alpha",8,2021,4,0.15384615384615385
"VOI Epsilon",8,2021,20,0.7692307692307693
"VOC Delta",9,2021,1,0.017543859649122806
"VOI Iota",9,2021,1,0.017543859649122806
"VOI Zeta",9,2021,2,0.03508771929824561
"VOC Alpha",9,2021,13,0.22807017543859648
"VOI Epsilon",9,2021,40,0.7017543859649122
"VOI Iota",10,2021,1,0.02127659574468085
"VOC Gamma",10,2021,2,0.0425531914893617
"VOC Alpha",10,2021,14,0.2978723404255319
"VOI Epsilon",10,2021,30,0.6382978723404256
"VOC Gamma",11,2021,1,0.020833333333333332
"VOI Iota",11,2021,2,0.041666666666666664
"VOI Zeta",11,2021,2,0.041666666666666664
"VOI Kappa",11,2021,3,0.0625
"VOC Alpha",11,2021,13,0.2708333333333333
"VOI Epsilon",11,2021,27,0.5625
"VOC Delta",12,2021,1,0.0196078431372549
"VOI Iota",12,2021,2,0.0392156862745098
"VOC Gamma",12,2021,5,0.09803921568627451
"VOC Alpha",12,2021,19,0.37254901960784315
"VOI Epsilon",12,2021,24,0.47058823529411764
"VOC Beta",13,2021,1,0.022727272727272728
"VOI Iota",13,2021,1,0.022727272727272728
"VOC Gamma",13,2021,12,0.2727272727272727
"VOC Alpha",13,2021,14,0.3181818181818182
"VOI Epsilon",13,2021,16,0.36363636363636365
"VOI Kappa",14,2021,1,0.0125
"VOI Lambda",14,2021,1,0.0125
"VOI Iota",14,2021,3,0.0375
"VOC Beta",14,2021,4,0.05
"VOC Gamma",14,2021,8,0.1
"VOI Epsilon",14,2021,23,0.2875
"VOC Alpha",14,2021,40,0.5
"VOI Iota",15,2021,2,0.020202020202020204
"VOI Lambda",15,2021,4,0.04040404040404041
"VOI Epsilon",15,2021,22,0.2222222222222222
"VOC Gamma",15,2021,23,0.23232323232323232
"VOC Alpha",15,2021,48,0.48484848484848486
"VOC Delta",16,2021,1,0.006756756756756757
"VOC Beta",16,2021,2,0.013513513513513514
"VOI Iota",16,2021,2,0.013513513513513514
"VOI Mu",16,2021,3,0.02027027027027027
"VOI Lambda",16,2021,10,0.06756756756756757
"VOI Epsilon",16,2021,29,0.19594594594594594
"VOC Gamma",16,2021,35,0.23648648648648649
"VOC Alpha",16,2021,66,0.44594594594594594
"VOI Kappa",17,2021,1,0.005154639175257732
